awaiting_async_process,vars,id,creation_time,failed,failed_reason,time_of_death,type,network_id,participant_id,trial_maker_id,module_id,_on_create_called,_on_deploy_called,ready_for_trials,key,degree,child_id,parent_id,seed,definition,context,participant_group,block,propagate_failure,n_viable_trials,class,object_type
False,{},1,2023-07-31 09:21:37,False,,,TrialSource,1,,SREPractice,SREPractice,True,False,True,,0,94.0,,{},"{""previous_sample"": {""obtained_response"": ""I'm really annoyed by the constant interruptions."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},2,2023-07-31 09:21:37,False,,,TrialSource,2,,SREPractice,SREPractice,True,False,True,,0,93.0,,{},"{""previous_sample"": {""obtained_response"": ""Outraged"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},3,2023-07-31 09:21:38,False,,,TrialSource,3,,SRE_chain,SRE_chain,True,False,True,,0,195.0,,{},"{""previous_sample"": {""obtained_response"": ""That was an incredibly thoughtful gesture."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},4,2023-07-31 09:21:38,False,,,TrialSource,4,,SRE_chain,SRE_chain,True,False,True,,0,283.0,,{},"{""previous_sample"": {""obtained_response"": ""What a beautiful day it is today!"", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},5,2023-07-31 09:21:38,False,,,TrialSource,5,,SRE_chain,SRE_chain,True,False,True,,0,121.0,,{},"{""previous_sample"": {""obtained_response"": ""I'm so excited to share this news with you!"", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},6,2023-07-31 09:21:38,False,,,TrialSource,6,,SRE_chain,SRE_chain,True,False,True,,0,133.0,,{},"{""previous_sample"": {""obtained_response"": ""This concert is beyond anything I imagined."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},7,2023-07-31 09:21:38,False,,,TrialSource,7,,SRE_chain,SRE_chain,True,False,True,,0,185.0,,{},"{""previous_sample"": {""obtained_response"": ""I'm glad we were able to resolve the issue."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},8,2023-07-31 09:21:38,False,,,TrialSource,8,,SRE_chain,SRE_chain,True,False,True,,0,198.0,,{},"{""previous_sample"": {""obtained_response"": ""I'm feeling a bit under the weather today."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},9,2023-07-31 09:21:38,False,,,TrialSource,9,,SRE_chain,SRE_chain,True,False,True,,0,287.0,,{},"{""previous_sample"": {""obtained_response"": ""You've really outdone yourself with this meal."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},10,2023-07-31 09:21:38,False,,,TrialSource,10,,SRE_chain,SRE_chain,True,False,True,,0,202.0,,{},"{""previous_sample"": {""obtained_response"": ""I'm sorry if my words unintentionally hurt you."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},11,2023-07-31 09:21:38,False,,,TrialSource,11,,SRE_chain,SRE_chain,True,False,True,,0,294.0,,{},"{""previous_sample"": {""obtained_response"": ""I'm so grateful for the support of my friends."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},12,2023-07-31 09:21:38,False,,,TrialSource,12,,SRE_chain,SRE_chain,True,False,True,,0,120.0,,{},"{""previous_sample"": {""obtained_response"": ""I'm thrilled to be part of this team."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},13,2023-07-31 09:21:38,False,,,TrialSource,13,,SRE_chain,SRE_chain,True,False,True,,0,117.0,,{},"{""previous_sample"": {""obtained_response"": ""I'm really annoyed by the constant interruptions."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},14,2023-07-31 09:21:38,False,,,TrialSource,14,,SRE_chain,SRE_chain,True,False,True,,0,116.0,,{},"{""previous_sample"": {""obtained_response"": ""I'm sorry, but I can't make it to the party."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},15,2023-07-31 09:21:38,False,,,TrialSource,15,,SRE_chain,SRE_chain,True,False,True,,0,101.0,,{},"{""previous_sample"": {""obtained_response"": ""I'm really enjoying our conversation right now."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},16,2023-07-31 09:21:38,False,,,TrialSource,16,,SRE_chain,SRE_chain,True,False,True,,0,280.0,,{},"{""previous_sample"": {""obtained_response"": ""I'm feeling a bit overwhelmed with all the deadlines."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},17,2023-07-31 09:21:38,False,,,TrialSource,17,,SRE_chain,SRE_chain,True,False,True,,0,163.0,,{},"{""previous_sample"": {""obtained_response"": ""I'm feeling quite apprehensive about the interview."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},18,2023-07-31 09:21:38,False,,,TrialSource,18,,SRE_chain,SRE_chain,True,False,True,,0,142.0,,{},"{""previous_sample"": {""obtained_response"": ""This movie is so heartwarming and emotional."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},19,2023-07-31 09:21:38,False,,,TrialSource,19,,SRE_chain,SRE_chain,True,False,True,,0,300.0,,{},"{""previous_sample"": {""obtained_response"": ""Don't worry, everything will be just fine."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},20,2023-07-31 09:21:38,False,,,TrialSource,20,,SRE_chain,SRE_chain,True,False,True,,0,178.0,,{},"{""previous_sample"": {""obtained_response"": ""I'm feeling a bit overwhelmed with all the work."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},21,2023-07-31 09:21:38,False,,,TrialSource,21,,SRE_chain,SRE_chain,True,False,True,,0,96.0,,{},"{""previous_sample"": {""obtained_response"": ""I'm concerned about the direction we're heading."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},22,2023-07-31 09:21:38,False,,,TrialSource,22,,SRE_chain,SRE_chain,True,False,True,,0,111.0,,{},"{""previous_sample"": {""obtained_response"": ""I'm grateful for the chance to pursue my passion."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},23,2023-07-31 09:21:38,False,,,TrialSource,23,,SRE_chain,SRE_chain,True,False,True,,0,341.0,,{},"{""previous_sample"": {""obtained_response"": ""This beach vacation has been incredibly relaxing."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},24,2023-07-31 09:21:38,False,,,TrialSource,24,,SRE_chain,SRE_chain,True,False,True,,0,97.0,,{},"{""previous_sample"": {""obtained_response"": ""I'm so proud of how far you've come."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},25,2023-07-31 09:21:38,False,,,TrialSource,25,,SRE_chain,SRE_chain,True,False,True,,0,376.0,,{},"{""previous_sample"": {""obtained_response"": ""This experience has been truly eye-opening for me."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},26,2023-07-31 09:21:38,False,,,TrialSource,26,,SRE_chain,SRE_chain,True,False,True,,0,112.0,,{},"{""previous_sample"": {""obtained_response"": ""I'm feeling quite nostalgic about the past."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},27,2023-07-31 09:21:38,False,,,TrialSource,27,,SRE_chain,SRE_chain,True,False,True,,0,152.0,,{},"{""previous_sample"": {""obtained_response"": ""I'm so grateful for the opportunities I've been given."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},28,2023-07-31 09:21:38,False,,,TrialSource,28,,SRE_chain,SRE_chain,True,False,True,,0,99.0,,{},"{""previous_sample"": {""obtained_response"": ""I'm sorry for not being able to attend the event."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},29,2023-07-31 09:21:38,False,,,TrialSource,29,,SRE_chain,SRE_chain,True,False,True,,0,104.0,,{},"{""previous_sample"": {""obtained_response"": ""The concert was absolutely fantastic last night."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},30,2023-07-31 09:21:38,False,,,TrialSource,30,,SRE_chain,SRE_chain,True,False,True,,0,137.0,,{},"{""previous_sample"": {""obtained_response"": ""I'm so relieved that everything worked out."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},31,2023-07-31 09:21:38,False,,,TrialSource,31,,SRE_chain,SRE_chain,True,False,True,,0,154.0,,{},"{""previous_sample"": {""obtained_response"": ""Your artwork is truly impressive and unique."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},32,2023-07-31 09:21:38,False,,,TrialSource,32,,SRE_chain,SRE_chain,True,False,True,,0,124.0,,{},"{""previous_sample"": {""obtained_response"": ""It's been a pleasure working with you."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},33,2023-07-31 09:21:38,False,,,TrialSource,33,,SRE_chain,SRE_chain,True,False,True,,0,100.0,,{},"{""previous_sample"": {""obtained_response"": ""I feel so overwhelmed with all these tasks."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},34,2023-07-31 09:21:38,False,,,TrialSource,34,,SRE_chain,SRE_chain,True,False,True,,0,153.0,,{},"{""previous_sample"": {""obtained_response"": ""I'm really annoyed by the constant interruptions."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},35,2023-07-31 09:21:38,False,,,TrialSource,35,,SRE_chain,SRE_chain,True,False,True,,0,299.0,,{},"{""previous_sample"": {""obtained_response"": ""This gift is so thoughtful and meaningful."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},36,2023-07-31 09:21:38,False,,,TrialSource,36,,SRE_chain,SRE_chain,True,False,True,,0,282.0,,{},"{""previous_sample"": {""obtained_response"": ""This roller coaster ride is so exhilarating!"", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
False,{},37,2023-07-31 09:21:38,False,,,TrialSource,37,,SRE_chain,SRE_chain,True,False,True,,0,356.0,,{},"{""previous_sample"": {""obtained_response"": ""I'm looking forward to spending time with family."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,False,1,SRENode,Node
