_initial_assets,awaiting_async_process,vars,id,creation_time,failed,failed_reason,time_of_death,type,origin_id,network_id,complete,node_id,participant_id,module_state_id,trial_maker_id,definition,finalized,is_repeat_trial,score,bonus,parent_trial_id,answer,propagate_failure,response_id,repeat_trial_index,n_repeat_trials,time_taken,time_credit_before_trial,time_credit_after_trial,time_credit_from_trial,block_position,block,class,object_type,start_time,prompt_component,mode,previous_sample,current_mode,obtained_response
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cHHwcmJAifoA==""]]}, ""prompt_component"": ""Outraged"", ""mode"": ""s""}",1,2023-07-31 07:38:36,False,,,SRETrial,2,2,True,2,1,1,SREPractice,"{""previous_sample"": {""obtained_response"": ""Outraged"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",True,False,,0.0,,"{""obtained_response"": ""I can`t believe you betrayed me like that!"", ""current_mode"": ""c""}",True,8.0,,,79.049,110.0,150.0,40.0,0,default,SRETrial,Info,2023-07-31 07:38:36,Outraged,s,"{""obtained_response"": ""Outraged"", ""current_mode"": ""s""}",s,I can`t believe you betrayed me like that!
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cHHwcnOAs42w==""]]}, ""prompt_component"": ""I'm really annoyed by the constant interruptions."", ""mode"": ""c""}",2,2023-07-31 07:39:56,False,,,SRETrial,1,1,True,1,1,1,SREPractice,"{""previous_sample"": {""obtained_response"": ""I'm really annoyed by the constant interruptions."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",True,False,,0.0,,"{""obtained_response"": ""frustrated"", ""current_mode"": ""s""}",True,10.0,,,46.392,150.0,190.0,40.0,0,default,SRETrial,Info,2023-07-31 07:39:56,I'm really annoyed by the constant interruptions.,c,"{""obtained_response"": ""I'm really annoyed by the constant interruptions."", ""current_mode"": ""c""}",c,frustrated
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cHHwcoMghHtA==""]]}, ""prompt_component"": ""Resentful"", ""mode"": ""s""}",3,2023-07-31 07:40:50,False,,,SRETrial,89,89,True,89,1,2,SRE_chain,"{""previous_sample"": {""obtained_response"": ""Resentful"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",True,False,,0.0,,"{""obtained_response"": ""You have no idea how much you hurt me."", ""current_mode"": ""c""}",True,12.0,,,25.002,200.0,240.0,40.0,0,default,SRETrial,Info,2023-07-31 07:40:50,Resentful,s,"{""obtained_response"": ""Resentful"", ""current_mode"": ""s""}",s,You have no idea how much you hurt me.
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cHHwcpEAyqdg==""]]}, ""prompt_component"": ""I'm concerned about the direction we're heading."", ""mode"": ""c""}",4,2023-07-31 07:41:16,False,,,SRETrial,21,21,True,21,1,2,SRE_chain,"{""previous_sample"": {""obtained_response"": ""I'm concerned about the direction we're heading."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",True,False,,0.0,,"{""obtained_response"": ""alarmed"", ""current_mode"": ""s""}",True,13.0,,,19.684,240.0,280.0,40.0,0,default,SRETrial,Info,2023-07-31 07:41:16,I'm concerned about the direction we're heading.,c,"{""obtained_response"": ""I'm concerned about the direction we're heading."", ""current_mode"": ""c""}",c,alarmed
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cHHwcpJQj7Dw==""]]}, ""prompt_component"": ""I'm so proud of how far you've come."", ""mode"": ""c""}",5,2023-07-31 07:41:37,False,,,SRETrial,24,24,True,24,1,2,SRE_chain,"{""previous_sample"": {""obtained_response"": ""I'm so proud of how far you've come."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",True,False,,0.0,,"{""obtained_response"": ""supportive"", ""current_mode"": ""s""}",True,14.0,,,27.44,280.0,320.0,40.0,0,default,SRETrial,Info,2023-07-31 07:41:37,I'm so proud of how far you've come.,c,"{""obtained_response"": ""I'm so proud of how far you've come."", ""current_mode"": ""c""}",c,supportive
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cHHwcqBgBIjg==""]]}, ""prompt_component"": ""Hesitant"", ""mode"": ""s""}",6,2023-07-31 07:42:06,False,,,SRETrial,86,86,True,86,1,2,SRE_chain,"{""previous_sample"": {""obtained_response"": ""Hesitant"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",True,False,,0.0,,"{""obtained_response"": ""I`m not sure if I should do this."", ""current_mode"": ""c""}",True,15.0,,,25.869,320.0,360.0,40.0,0,default,SRETrial,Info,2023-07-31 07:42:06,Hesitant,s,"{""obtained_response"": ""Hesitant"", ""current_mode"": ""s""}",s,I`m not sure if I should do this.
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cHHwcqIQCm+A==""]]}, ""prompt_component"": ""I'm sorry for not being able to attend the event."", ""mode"": ""c""}",7,2023-07-31 07:42:33,False,,,SRETrial,28,28,True,28,1,2,SRE_chain,"{""previous_sample"": {""obtained_response"": ""I'm sorry for not being able to attend the event."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",True,False,,0.0,,"{""obtained_response"": ""apologetic"", ""current_mode"": ""s""}",True,16.0,,,25.708,360.0,400.0,40.0,0,default,SRETrial,Info,2023-07-31 07:42:33,I'm sorry for not being able to attend the event.,c,"{""obtained_response"": ""I'm sorry for not being able to attend the event."", ""current_mode"": ""c""}",c,apologetic
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cHHwcqOwwTSg==""]]}, ""prompt_component"": ""I feel so overwhelmed with all these tasks."", ""mode"": ""c""}",8,2023-07-31 07:42:59,False,,,SRETrial,33,33,True,33,1,2,SRE_chain,"{""previous_sample"": {""obtained_response"": ""I feel so overwhelmed with all these tasks."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",True,False,,0.0,,"{""obtained_response"": ""stressed"", ""current_mode"": ""s""}",True,17.0,,,18.001,400.0,440.0,40.0,0,default,SRETrial,Info,2023-07-31 07:42:59,I feel so overwhelmed with all these tasks.,c,"{""obtained_response"": ""I feel so overwhelmed with all these tasks."", ""current_mode"": ""c""}",c,stressed
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cHHwcrEgxxRw==""]]}, ""prompt_component"": ""I'm really enjoying our conversation right now."", ""mode"": ""c""}",9,2023-07-31 07:43:18,False,,,SRETrial,15,15,True,15,1,2,SRE_chain,"{""previous_sample"": {""obtained_response"": ""I'm really enjoying our conversation right now."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",True,False,,0.0,,"{""obtained_response"": ""engaged"", ""current_mode"": ""s""}",True,18.0,,,18.334,440.0,480.0,40.0,0,default,SRETrial,Info,2023-07-31 07:43:18,I'm really enjoying our conversation right now.,c,"{""obtained_response"": ""I'm really enjoying our conversation right now."", ""current_mode"": ""c""}",c,engaged
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cHHwcrJgKqvw==""]]}, ""prompt_component"": ""I'm thrilled to be part of this project."", ""mode"": ""c""}",10,2023-07-31 07:43:38,False,,,SRETrial,47,47,True,47,1,2,SRE_chain,"{""previous_sample"": {""obtained_response"": ""I'm thrilled to be part of this project."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",True,False,,0.0,,"{""obtained_response"": ""eager"", ""current_mode"": ""s""}",True,19.0,,,15.829,480.0,520.0,40.0,0,default,SRETrial,Info,2023-07-31 07:43:38,I'm thrilled to be part of this project.,c,"{""obtained_response"": ""I'm thrilled to be part of this project."", ""current_mode"": ""c""}",c,eager
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cHHwcrNwBj3Q==""]]}, ""prompt_component"": ""Serene"", ""mode"": ""s""}",11,2023-07-31 07:43:55,False,,,SRETrial,87,87,True,87,1,2,SRE_chain,"{""previous_sample"": {""obtained_response"": ""Serene"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",True,False,,0.0,,"{""obtained_response"": ""I love listening to the sound of the rain."", ""current_mode"": ""c""}",True,22.0,,,22.164,520.0,560.0,40.0,0,default,SRETrial,Info,2023-07-31 07:43:55,Serene,s,"{""obtained_response"": ""Serene"", ""current_mode"": ""s""}",s,I love listening to the sound of the rain.
