_initial_assets,awaiting_async_process,vars,id,creation_time,failed,failed_reason,time_of_death,type,origin_id,network_id,complete,node_id,participant_id,module_state_id,trial_maker_id,definition,finalized,is_repeat_trial,score,bonus,parent_trial_id,answer,propagate_failure,response_id,repeat_trial_index,n_repeat_trials,time_taken,time_credit_before_trial,time_credit_after_trial,time_credit_from_trial,block_position,block,class,object_type,start_time,prompt_component,mode,previous_sample,current_mode,obtained_response
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cIAwo3DgMxEQ==""]]}, ""prompt_component"": ""authoritative"", ""mode"": ""s""}",1,2023-08-03 10:55:14,False,,,SRETrial,2,2,True,2,1,1,SREPractice,"{""previous_sample"": {""obtained_response"": ""authoritative"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",True,False,,0.0,,"{""obtained_response"": ""You need to finish this by Wednesday."", ""current_mode"": ""c""}",True,9.0,,,27.202,110.0,150.0,40.0,0,default,SRETrial,Info,2023-08-03 10:55:14,authoritative,s,"{""obtained_response"": ""authoritative"", ""current_mode"": ""s""}",s,You need to finish this by Wednesday.
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cIAwo3KguvgQ==""]]}, ""prompt_component"": ""That sounds like a great day."", ""mode"": ""c""}",2,2023-08-03 10:55:42,False,,,SRETrial,1,1,True,1,1,1,SREPractice,"{""previous_sample"": {""obtained_response"": ""That sounds like a great day."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",True,False,,0.0,,"{""obtained_response"": ""excited"", ""current_mode"": ""s""}",True,13.0,,,17.887,150.0,190.0,40.0,0,default,SRETrial,Info,2023-08-03 10:55:42,That sounds like a great day.,c,"{""obtained_response"": ""That sounds like a great day."", ""current_mode"": ""c""}",c,excited
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cIAwo4DgGrdA==""]]}, ""prompt_component"": ""I went to see Mary Poppins in London and I was absolutely excited by the performance."", ""mode"": ""c""}",3,2023-08-03 10:56:14,False,,,SRETrial,39,39,True,39,1,2,SRE_chain,"{""previous_sample"": {""obtained_response"": ""I went to see Mary Poppins in London and I was absolutely excited by the performance."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",True,False,,0.0,,"{""obtained_response"": ""reminiscent"", ""current_mode"": ""s""}",True,23.0,,,26.857,200.0,240.0,40.0,0,default,SRETrial,Info,2023-08-03 10:56:14,I went to see Mary Poppins in London and I was absolutely excited by the performance.,c,"{""obtained_response"": ""I went to see Mary Poppins in London and I was absolutely excited by the performance."", ""current_mode"": ""c""}",c,reminiscent
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cIAwo4HAgoeA==""]]}, ""prompt_component"": ""excited"", ""mode"": ""s""}",4,2023-08-03 10:56:28,False,,,SRETrial,94,1,True,94,3,3,SREPractice,"{""previous_sample"": {""obtained_response"": ""excited"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",True,False,,0.0,,"{""obtained_response"": ""Wow, what an amazing thing to happen."", ""current_mode"": ""c""}",True,40.0,,,83.199,110.0,150.0,40.0,0,default,SRETrial,Info,2023-08-03 10:56:28,excited,s,"{""obtained_response"": ""excited"", ""current_mode"": ""s""}",s,"Wow, what an amazing thing to happen."
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cIAwo4KgdoPg==""]]}, ""prompt_component"": ""I started using this tool a month ago and I am still using it now."", ""mode"": ""c""}",5,2023-08-03 10:56:42,False,,,SRETrial,28,28,True,28,1,2,SRE_chain,"{""previous_sample"": {""obtained_response"": ""I started using this tool a month ago and I am still using it now."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",True,False,,0.0,,"{""obtained_response"": ""persuasive"", ""current_mode"": ""s""}",True,27.0,,,6.74,240.0,280.0,40.0,0,default,SRETrial,Info,2023-08-03 10:56:42,I started using this tool a month ago and I am still using it now.,c,"{""obtained_response"": ""I started using this tool a month ago and I am still using it now."", ""current_mode"": ""c""}",c,persuasive
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cIAwo4MAzbNQ==""]]}, ""prompt_component"": ""You need to finish this by Wednesday."", ""mode"": ""c""}",6,2023-08-03 10:56:48,False,,,SRETrial,93,2,True,93,2,4,SREPractice,"{""previous_sample"": {""obtained_response"": ""You need to finish this by Wednesday."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",True,False,,0.0,,"{""obtained_response"": ""hasty"", ""current_mode"": ""s""}",True,32.0,,,20.273,110.0,150.0,40.0,0,default,SRETrial,Info,2023-08-03 10:56:48,You need to finish this by Wednesday.,c,"{""obtained_response"": ""You need to finish this by Wednesday."", ""current_mode"": ""c""}",c,hasty
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cIAwo4MgnV4g==""]]}, ""prompt_component"": ""She smiled as she cuddled the kitten."", ""mode"": ""c""}",7,2023-08-03 10:56:50,False,,,SRETrial,37,37,True,37,1,2,SRE_chain,"{""previous_sample"": {""obtained_response"": ""She smiled as she cuddled the kitten."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",True,False,,0.0,,"{""obtained_response"": ""descriptive"", ""current_mode"": ""s""}",True,30.0,,,9.134,280.0,320.0,40.0,0,default,SRETrial,Info,2023-08-03 10:56:50,She smiled as she cuddled the kitten.,c,"{""obtained_response"": ""She smiled as she cuddled the kitten."", ""current_mode"": ""c""}",c,descriptive
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cIAwo5AA26yA==""]]}, ""prompt_component"": ""They did not know what happened."", ""mode"": ""c""}",8,2023-08-03 10:57:00,False,,,SRETrial,4,4,True,4,1,2,SRE_chain,"{""previous_sample"": {""obtained_response"": ""They did not know what happened."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",True,False,,0.0,,"{""obtained_response"": ""descriptive"", ""current_mode"": ""s""}",True,34.0,,,12.464,320.0,360.0,40.0,0,default,SRETrial,Info,2023-08-03 10:57:00,They did not know what happened.,c,"{""obtained_response"": ""They did not know what happened."", ""current_mode"": ""c""}",c,descriptive
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cIAwo5DgpgSg==""]]}, ""prompt_component"": ""surprised"", ""mode"": ""s""}",9,2023-08-03 10:57:14,False,,,SRETrial,81,81,True,81,1,2,SRE_chain,"{""previous_sample"": {""obtained_response"": ""surprised"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",True,False,,0.0,,"{""obtained_response"": ""Wow, I wasn`t expecting that!"", ""current_mode"": ""c""}",True,43.0,,,48.115,360.0,400.0,40.0,0,default,SRETrial,Info,2023-08-03 10:57:14,surprised,s,"{""obtained_response"": ""surprised"", ""current_mode"": ""s""}",s,"Wow, I wasn`t expecting that!"
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cIAwo5FAVMCw==""]]}, ""prompt_component"": ""wary"", ""mode"": ""s""}",10,2023-08-03 10:57:20,False,,,SRETrial,58,58,True,58,2,5,SRE_chain,"{""previous_sample"": {""obtained_response"": ""wary"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",True,False,,0.0,,"{""obtained_response"": ""I`m concerned about the outcome of doing this."", ""current_mode"": ""c""}",True,38.0,,,18.424,160.0,200.0,40.0,0,default,SRETrial,Info,2023-08-03 10:57:20,wary,s,"{""obtained_response"": ""wary"", ""current_mode"": ""s""}",s,I`m concerned about the outcome of doing this.
