_initial_assets,awaiting_async_process,vars,id,creation_time,failed,failed_reason,time_of_death,type,origin_id,network_id,complete,node_id,participant_id,module_state_id,trial_maker_id,definition,finalized,is_repeat_trial,score,bonus,parent_trial_id,answer,propagate_failure,response_id,repeat_trial_index,n_repeat_trials,time_taken,time_credit_before_trial,time_credit_after_trial,time_credit_from_trial,block_position,block,class,object_type,start_time,prompt_component,mode,previous_sample,current_mode,obtained_response
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cIBAoLKQ1M+w==""]]}, ""prompt_component"": ""I don`t know why, but I don`t trust him!"", ""mode"": ""c""}",1,2023-08-04 10:11:41,False,,,SRETrial,1,1,True,1,2,1,SREPractice,"{""previous_sample"": {""obtained_response"": ""I don`t know why, but I don`t trust him!"", ""current_mode"": ""c""}, ""current_mode"": ""c""}",True,False,,0.0,,"{""obtained_response"": ""suspicious"", ""current_mode"": ""s""}",True,17.0,,,43.007,110.0,150.0,40.0,0,default,SRETrial,Info,2023-08-04 10:11:41,"I don`t know why, but I don`t trust him!",c,"{""obtained_response"": ""I don`t know why, but I don`t trust him!"", ""current_mode"": ""c""}",c,suspicious
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cIBAoMBAErtw==""]]}, ""prompt_component"": ""informative"", ""mode"": ""s""}",2,2023-08-04 10:12:03,False,,,SRETrial,2,2,True,2,1,2,SREPractice,"{""previous_sample"": {""obtained_response"": ""informative"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",True,False,,0.0,,"{""obtained_response"": ""On the 4th July every year it is American Independence Day."", ""current_mode"": ""c""}",True,22.0,,,30.093,110.0,150.0,40.0,0,default,SRETrial,Info,2023-08-04 10:12:04,informative,s,"{""obtained_response"": ""informative"", ""current_mode"": ""s""}",s,On the 4th July every year it is American Independence Day.
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cIBAoMHgRhDw==""]]}, ""prompt_component"": ""suspicious"", ""mode"": ""s""}",3,2023-08-04 10:12:30,False,,,SRETrial,93,1,True,93,3,3,SREPractice,"{""previous_sample"": {""obtained_response"": ""suspicious"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",True,False,,0.0,,"{""obtained_response"": ""Hi, can you tell me what you are doing please?"", ""current_mode"": ""c""}",True,34.0,,,43.677,110.0,150.0,40.0,0,default,SRETrial,Info,2023-08-04 10:12:30,suspicious,s,"{""obtained_response"": ""suspicious"", ""current_mode"": ""s""}",s,"Hi, can you tell me what you are doing please?"
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cIBAoMJAw0Mw==""]]}, ""prompt_component"": ""supportive"", ""mode"": ""s""}",4,2023-08-04 10:12:36,False,,,SRETrial,51,51,True,51,2,4,SRE_chain,"{""previous_sample"": {""obtained_response"": ""supportive"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",True,False,,0.0,,"{""obtained_response"": ""I believe you can do it!"", ""current_mode"": ""c""}",True,28.0,,,21.224,160.0,200.0,40.0,0,default,SRETrial,Info,2023-08-04 10:12:36,supportive,s,"{""obtained_response"": ""supportive"", ""current_mode"": ""s""}",s,I believe you can do it!
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cIBAoMOQEz6w==""]]}, ""prompt_component"": ""proud"", ""mode"": ""s""}",5,2023-08-04 10:12:57,False,,,SRETrial,74,74,True,74,1,5,SRE_chain,"{""previous_sample"": {""obtained_response"": ""proud"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",True,False,,0.0,,"{""obtained_response"": ""You have achieved so much and it has been an honor to work with you and watch you develop throughout this course."", ""current_mode"": ""c""}",True,43.0,,,52.792,160.0,200.0,40.0,0,default,SRETrial,Info,2023-08-04 10:12:57,proud,s,"{""obtained_response"": ""proud"", ""current_mode"": ""s""}",s,You have achieved so much and it has been an honor to work with you and watch you develop throughout this course.
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cIBAoMOwRtoA==""]]}, ""prompt_component"": ""content"", ""mode"": ""s""}",6,2023-08-04 10:12:59,False,,,SRETrial,69,69,True,69,2,4,SRE_chain,"{""previous_sample"": {""obtained_response"": ""content"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",True,False,,0.0,,"{""obtained_response"": ""That was such a wonderful day."", ""current_mode"": ""c""}",True,35.0,,,15.379,200.0,240.0,40.0,0,default,SRETrial,Info,2023-08-04 10:12:59,content,s,"{""obtained_response"": ""content"", ""current_mode"": ""s""}",s,That was such a wonderful day.
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cIBAoNDwNYuA==""]]}, ""prompt_component"": ""On the 4th July every year it is American Independence Day."", ""mode"": ""c""}",7,2023-08-04 10:13:15,False,,,SRETrial,94,2,True,94,3,3,SREPractice,"{""previous_sample"": {""obtained_response"": ""On the 4th July every year it is American Independence Day."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",True,False,,0.0,,"{""obtained_response"": ""helpful"", ""current_mode"": ""s""}",True,48.0,,,49.566,150.0,190.0,40.0,0,default,SRETrial,Info,2023-08-04 10:13:15,On the 4th July every year it is American Independence Day.,c,"{""obtained_response"": ""On the 4th July every year it is American Independence Day."", ""current_mode"": ""c""}",c,helpful
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cIBAoNEAB4bQ==""]]}, ""prompt_component"": ""I just want to go home and cry."", ""mode"": ""c""}",8,2023-08-04 10:13:16,False,,,SRETrial,33,33,True,33,2,4,SRE_chain,"{""previous_sample"": {""obtained_response"": ""I just want to go home and cry."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",True,False,,0.0,,"{""obtained_response"": ""depressing"", ""current_mode"": ""s""}",True,41.0,,,29.032,240.0,280.0,40.0,0,default,SRETrial,Info,2023-08-04 10:13:16,I just want to go home and cry.,c,"{""obtained_response"": ""I just want to go home and cry."", ""current_mode"": ""c""}",c,depressing
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cIBAoNLgWnFw==""]]}, ""prompt_component"": ""I know that I am so good looking."", ""mode"": ""c""}",9,2023-08-04 10:13:46,False,,,SRETrial,41,41,True,41,2,4,SRE_chain,"{""previous_sample"": {""obtained_response"": ""I know that I am so good looking."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",True,False,,0.0,,"{""obtained_response"": ""conceited"", ""current_mode"": ""s""}",True,49.0,,,27.768,280.0,320.0,40.0,0,default,SRETrial,Info,2023-08-04 10:13:46,I know that I am so good looking.,c,"{""obtained_response"": ""I know that I am so good looking."", ""current_mode"": ""c""}",c,conceited
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cIBAoNNAbhRg==""]]}, ""prompt_component"": ""complementary"", ""mode"": ""s""}",10,2023-08-04 10:13:52,False,,,SRETrial,65,65,True,65,1,5,SRE_chain,"{""previous_sample"": {""obtained_response"": ""complementary"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",True,False,,0.0,,"{""obtained_response"": ""I love your earrings - they shine so beautifully in this light!"", ""current_mode"": ""c""}",True,50.0,,,24.336,200.0,240.0,40.0,0,default,SRETrial,Info,2023-08-04 10:13:52,complementary,s,"{""obtained_response"": ""complementary"", ""current_mode"": ""s""}",s,I love your earrings - they shine so beautifully in this light!
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cIBAoNNQ8xNw==""]]}, ""prompt_component"": ""Hi, can you tell me what you are doing please?"", ""mode"": ""c""}",11,2023-08-04 10:13:53,False,,,SRETrial,96,1,True,96,5,6,SREPractice,"{""previous_sample"": {""obtained_response"": ""Hi, can you tell me what you are doing please?"", ""current_mode"": ""c""}, ""current_mode"": ""c""}",True,False,,0.0,,"{""obtained_response"": ""curious"", ""current_mode"": ""s""}",True,53.0,,,33.989,110.0,150.0,40.0,0,default,SRETrial,Info,2023-08-04 10:13:53,"Hi, can you tell me what you are doing please?",c,"{""obtained_response"": ""Hi, can you tell me what you are doing please?"", ""current_mode"": ""c""}",c,curious
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cIBAoODwjk6Q==""]]}, ""prompt_component"": ""I don`t know why, but I don`t trust him!"", ""mode"": ""c""}",12,2023-08-04 10:14:15,False,,,SRETrial,7,7,True,7,2,4,SRE_chain,"{""previous_sample"": {""obtained_response"": ""I don`t know why, but I don`t trust him!"", ""current_mode"": ""c""}, ""current_mode"": ""c""}",True,False,,0.0,,"{""obtained_response"": ""watchful"", ""current_mode"": ""s""}",True,55.0,,,16.287,320.0,360.0,40.0,0,default,SRETrial,Info,2023-08-04 10:14:15,"I don`t know why, but I don`t trust him!",c,"{""obtained_response"": ""I don`t know why, but I don`t trust him!"", ""current_mode"": ""c""}",c,watchful
{},False,"{""start_time"": {""py/object"": ""datetime.datetime"", ""__reduce__"": [{""py/type"": ""datetime.datetime""}, [""B+cIBAoOEwKEeQ==""]]}, ""prompt_component"": ""That`s really great, I`m so pleased."", ""mode"": ""c""}",13,2023-08-04 10:14:19,False,,,SRETrial,15,15,True,15,1,5,SRE_chain,"{""previous_sample"": {""obtained_response"": ""That`s really great, I`m so pleased."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",True,False,,0.0,,"{""obtained_response"": ""relieved"", ""current_mode"": ""s""}",True,63.0,,,29.753,240.0,280.0,40.0,0,default,SRETrial,Info,2023-08-04 10:14:19,"That`s really great, I`m so pleased.",c,"{""obtained_response"": ""That`s really great, I`m so pleased."", ""current_mode"": ""c""}",c,relieved
