tone_a|tone_b|rater_order|current_rating
admiring|admiring|0|1
admiring|admiring|1|1
admiring|admiring|2|1
admiring|admiring|3|1
admiring|admiring|4|1
admiring|affectionate|0|0.7
admiring|affectionate|1|0.7
admiring|affectionate|2|0.6
admiring|affectionate|3|0.7
admiring|affectionate|4|0.7
admiring|angry|0|0.1
admiring|angry|1|0.1
admiring|angry|2|0
admiring|angry|3|0
admiring|angry|4|0.1
admiring|annoyed|0|0.1
admiring|annoyed|1|0.1
admiring|annoyed|2|0.1
admiring|annoyed|3|0.1
admiring|annoyed|4|0.1
admiring|anxious|0|0.1
admiring|anxious|1|0.2
admiring|anxious|2|0.1
admiring|anxious|3|0.2
admiring|anxious|4|0.2
admiring|apologetic|0|0.2
admiring|apologetic|1|0.2
admiring|apologetic|2|0.2
admiring|apologetic|3|0.2
admiring|apologetic|4|0.2
admiring|appreciative|0|0.9
admiring|appreciative|1|0.8
admiring|appreciative|2|0.9
admiring|appreciative|3|0.8
admiring|appreciative|4|0.9
admiring|concerned|0|0.2
admiring|concerned|1|0.2
admiring|concerned|2|0.2
admiring|concerned|3|0.2
admiring|concerned|4|0.2
admiring|confused|0|0.1
admiring|confused|1|0.1
admiring|confused|2|0.1
admiring|confused|3|0.1
admiring|confused|4|0.1
admiring|curious|0|0.3
admiring|curious|1|0.4
admiring|curious|2|0.3
admiring|curious|3|0.5
admiring|curious|4|0.4
admiring|defensive|0|0.1
admiring|defensive|1|0.2
admiring|defensive|2|0.1
admiring|defensive|3|0.2
admiring|defensive|4|0.2
admiring|descriptive|0|0.2
admiring|descriptive|1|0.3
admiring|descriptive|2|0.2
admiring|descriptive|3|0.3
admiring|descriptive|4|0.3
admiring|desperate|0|0.1
admiring|desperate|1|0.1
admiring|desperate|2|0.1
admiring|desperate|3|0.1
admiring|desperate|4|0.1
admiring|disappointed|0|0.1
admiring|disappointed|1|0.1
admiring|disappointed|2|0.1
admiring|disappointed|3|0.1
admiring|disappointed|4|0.1
admiring|encouraging|0|0.7
admiring|encouraging|1|0.6
admiring|encouraging|2|0.7
admiring|encouraging|3|0.6
admiring|encouraging|4|0.7
admiring|excited|0|0.7
admiring|excited|1|0.6
admiring|excited|2|0.7
admiring|excited|3|0.7
admiring|excited|4|0.7
admiring|friendly|0|0.7
admiring|friendly|1|0.7
admiring|friendly|2|0.7
admiring|friendly|3|0.7
admiring|friendly|4|0.6
admiring|frustrated|0|0.1
admiring|frustrated|1|0.1
admiring|frustrated|2|0.1
admiring|frustrated|3|0.1
admiring|frustrated|4|0.1
admiring|grateful|0|0.6
admiring|grateful|1|0.7
admiring|grateful|2|0.7
admiring|grateful|3|0.7
admiring|grateful|4|0.7
admiring|happy|0|0.6
admiring|happy|1|0.7
admiring|happy|2|0.6
admiring|happy|3|0.7
admiring|happy|4|0.7
admiring|indignant|0|0.1
admiring|indignant|1|0.1
admiring|indignant|2|0.1
admiring|indignant|3|0.1
admiring|indignant|4|0.1
admiring|irritated|0|0.1
admiring|irritated|1|0.1
admiring|irritated|2|0.1
admiring|irritated|3|0.1
admiring|irritated|4|0.1
admiring|joyful|0|0.6
admiring|joyful|1|0.6
admiring|joyful|2|0.7
admiring|joyful|3|0.6
admiring|joyful|4|0.5
admiring|nostalgic|0|0.3
admiring|nostalgic|1|0.3
admiring|nostalgic|2|0.3
admiring|nostalgic|3|0.3
admiring|nostalgic|4|0.3
admiring|pleased|0|0.7
admiring|pleased|1|0.7
admiring|pleased|2|0.7
admiring|pleased|3|0.8
admiring|pleased|4|0.6
admiring|proud|0|0.6
admiring|proud|1|0.7
admiring|proud|2|0.7
admiring|proud|3|0.7
admiring|proud|4|0.7
admiring|reassuring|0|0.5
admiring|reassuring|1|0.6
admiring|reassuring|2|0.6
admiring|reassuring|3|0.5
admiring|reassuring|4|0.5
admiring|reflective|0|0.3
admiring|reflective|1|0.4
admiring|reflective|2|0.3
admiring|reflective|3|0.4
admiring|reflective|4|0.3
admiring|relieved|0|0.3
admiring|relieved|1|0.2
admiring|relieved|2|0.2
admiring|relieved|3|0.3
