feature|tone|rater_order|current_rating
positive in valence|admiring|0|5
positive in valence|admiring|1|5
positive in valence|admiring|2|5
positive in valence|admiring|3|5
positive in valence|admiring|4|5
positive in valence|affectionate|0|5
positive in valence|affectionate|1|5
positive in valence|affectionate|2|5
positive in valence|affectionate|3|5
positive in valence|affectionate|4|5
positive in valence|angry|0|1
positive in valence|angry|1|1
positive in valence|angry|2|1
positive in valence|angry|3|1
positive in valence|angry|4|1
positive in valence|annoyed|0|1
positive in valence|annoyed|1|1
positive in valence|annoyed|2|1
positive in valence|annoyed|3|1
positive in valence|annoyed|4|1
positive in valence|anxious|0|1
positive in valence|anxious|1|1
positive in valence|anxious|2|1
positive in valence|anxious|3|1
positive in valence|anxious|4|1
positive in valence|apologetic|0|2
positive in valence|apologetic|1|2
positive in valence|apologetic|2|2
positive in valence|apologetic|3|2
positive in valence|apologetic|4|2
positive in valence|appreciative|0|5
positive in valence|appreciative|1|5
positive in valence|appreciative|2|5
positive in valence|appreciative|3|5
positive in valence|appreciative|4|5
positive in valence|concerned|0|2
positive in valence|concerned|1|2
positive in valence|concerned|2|2
positive in valence|concerned|3|2
positive in valence|concerned|4|2
positive in valence|confused|0|2
positive in valence|confused|1|2
positive in valence|confused|2|2
positive in valence|confused|3|2
positive in valence|confused|4|2
positive in valence|curious|0|4
positive in valence|curious|1|3
positive in valence|curious|2|4
positive in valence|curious|3|4
positive in valence|curious|4|4
positive in valence|defensive|0|2
positive in valence|defensive|1|2
positive in valence|defensive|2|2
positive in valence|defensive|3|2
positive in valence|defensive|4|2
positive in valence|descriptive|0|3
positive in valence|descriptive|1|3
positive in valence|descriptive|2|3
positive in valence|descriptive|3|3
positive in valence|descriptive|4|3
positive in valence|desperate|0|1
positive in valence|desperate|1|1
positive in valence|desperate|2|1
positive in valence|desperate|3|1
positive in valence|desperate|4|1
positive in valence|disappointed|0|1
positive in valence|disappointed|1|1
positive in valence|disappointed|2|1
positive in valence|disappointed|3|1
positive in valence|disappointed|4|1
positive in valence|encouraging|0|5
positive in valence|encouraging|1|5
positive in valence|encouraging|2|5
positive in valence|encouraging|3|5
positive in valence|encouraging|4|5
positive in valence|excited|0|5
positive in valence|excited|1|5
positive in valence|excited|2|5
positive in valence|excited|3|5
positive in valence|excited|4|5
positive in valence|friendly|0|5
positive in valence|friendly|1|5
positive in valence|friendly|2|5
positive in valence|friendly|3|5
positive in valence|friendly|4|5
positive in valence|frustrated|0|1
positive in valence|frustrated|1|1
positive in valence|frustrated|2|1
positive in valence|frustrated|3|1
positive in valence|frustrated|4|1
positive in valence|grateful|0|5
positive in valence|grateful|1|5
positive in valence|grateful|2|5
positive in valence|grateful|3|5
positive in valence|grateful|4|5
positive in valence|happy|0|5
positive in valence|happy|1|5
positive in valence|happy|2|5
positive in valence|happy|3|5
positive in valence|happy|4|5
positive in valence|indignant|0|1
positive in valence|indignant|1|1
positive in valence|indignant|2|1
positive in valence|indignant|3|1
positive in valence|indignant|4|1
positive in valence|irritated|0|1
positive in valence|irritated|1|1
positive in valence|irritated|2|1
positive in valence|irritated|3|1
positive in valence|irritated|4|1
positive in valence|joyful|0|5
positive in valence|joyful|1|5
positive in valence|joyful|2|5
positive in valence|joyful|3|5
positive in valence|joyful|4|5
positive in valence|nostalgic|0|3
positive in valence|nostalgic|1|3
positive in valence|nostalgic|2|3.5
positive in valence|nostalgic|3|3
