_initial_assets,awaiting_async_process,vars,id,creation_time,failed,failed_reason,time_of_death,type,origin_id,network_id,complete,node_id,participant_id,module_state_id,trial_maker_id,definition,finalized,is_repeat_trial,score,bonus,parent_trial_id,answer,propagate_failure,response_id,repeat_trial_index,n_repeat_trials,time_taken,time_credit_before_trial,time_credit_after_trial,time_credit_from_trial,block_position,block,class,object_type,feature,feature_description,tone,tones
{},False,{},1,2023-12-15 22:42:27,False,,,DenseRatingTrial,36,36,True,36,1,1,feature_rating,"{""feature"": ""relational"", ""feature_description"": ""the extent to which the motive of speaker motive focuses on building the relationship."", ""tone"": ""encouraging""}",True,False,,0.0,,"{""feature"": ""relational"", ""tones"": ""encouraging"", ""answer"": {""encouraging"": ""4""}}",True,15.0,,,5.633,90.0,100.0,10.0,0,default,DenseRatingTrial,Info,relational,the extent to which the motive of speaker motive focuses on building the relationship.,encouraging,encouraging
{},False,{},2,2023-12-15 22:42:34,False,,,DenseRatingTrial,159,159,True,159,1,1,feature_rating,"{""feature"": ""informational"", ""feature_description"": ""the extent to which the motive of speaker focuses on giving and/or receiving accurate information."", ""tone"": ""indignant""}",True,False,,0.0,,"{""feature"": ""informational"", ""tones"": ""indignant"", ""answer"": {""indignant"": ""2""}}",True,18.0,,,5.883,100.0,110.0,10.0,0,default,DenseRatingTrial,Info,informational,the extent to which the motive of speaker focuses on giving and/or receiving accurate information.,indignant,indignant
{},False,{},3,2023-12-15 22:42:40,False,,,DenseRatingTrial,78,78,True,78,1,1,feature_rating,"{""feature"": ""aroused"", ""feature_description"": ""the strength of emotional activation and energy observed."", ""tone"": ""desperate""}",True,False,,0.0,,"{""feature"": ""aroused"", ""tones"": ""desperate"", ""answer"": {""desperate"": ""1""}}",True,19.0,,,5.454,110.0,120.0,10.0,0,default,DenseRatingTrial,Info,aroused,the strength of emotional activation and energy observed.,desperate,desperate
{},False,{},4,2023-12-15 22:42:47,False,,,DenseRatingTrial,111,111,True,111,1,1,feature_rating,"{""feature"": ""informational"", ""feature_description"": ""the extent to which the motive of speaker focuses on giving and/or receiving accurate information."", ""tone"": ""admiring""}",True,False,,0.0,,"{""feature"": ""informational"", ""tones"": ""admiring"", ""answer"": {""admiring"": ""4""}}",True,21.0,,,9.012,120.0,130.0,10.0,0,default,DenseRatingTrial,Info,informational,the extent to which the motive of speaker focuses on giving and/or receiving accurate information.,admiring,admiring
{},False,{},5,2023-12-15 22:42:56,False,,,DenseRatingTrial,44,44,True,44,1,1,feature_rating,"{""feature"": ""relational"", ""feature_description"": ""the extent to which the motive of speaker motive focuses on building the relationship."", ""tone"": ""nostalgic""}",True,False,,0.0,,"{""feature"": ""relational"", ""tones"": ""nostalgic"", ""answer"": {""nostalgic"": ""4""}}",True,23.0,,,5.775,130.0,140.0,10.0,0,default,DenseRatingTrial,Info,relational,the extent to which the motive of speaker motive focuses on building the relationship.,nostalgic,nostalgic
{},False,{},6,2023-12-15 22:43:03,False,,,DenseRatingTrial,59,59,True,59,1,1,feature_rating,"{""feature"": ""informational"", ""feature_description"": ""the extent to which the motive of speaker focuses on giving and/or receiving accurate information."", ""tone"": ""disappointed""}",True,False,,0.0,,"{""feature"": ""informational"", ""tones"": ""disappointed"", ""answer"": {""disappointed"": ""1""}}",True,28.0,,,7.319,140.0,150.0,10.0,0,default,DenseRatingTrial,Info,informational,the extent to which the motive of speaker focuses on giving and/or receiving accurate information.,disappointed,disappointed
{},False,{},7,2023-12-15 22:43:09,False,,,DenseRatingTrial,114,114,True,114,2,2,feature_rating,"{""feature"": ""aroused"", ""feature_description"": ""the strength of emotional activation and energy observed."", ""tone"": ""uncertain""}",True,False,,0.0,,"{""feature"": ""aroused"", ""tones"": ""uncertain"", ""answer"": {""uncertain"": ""2""}}",True,36.0,,,22.209,90.0,100.0,10.0,0,default,DenseRatingTrial,Info,aroused,the strength of emotional activation and energy observed.,uncertain,uncertain
{},False,{},8,2023-12-15 22:43:11,False,,,DenseRatingTrial,139,139,True,139,1,1,feature_rating,"{""feature"": ""informational"", ""feature_description"": ""the extent to which the motive of speaker focuses on giving and/or receiving accurate information."", ""tone"": ""reflective""}",True,False,,0.0,,"{""feature"": ""informational"", ""tones"": ""reflective"", ""answer"": {""reflective"": ""4""}}",True,29.0,,,4.855,150.0,160.0,10.0,0,default,DenseRatingTrial,Info,informational,the extent to which the motive of speaker focuses on giving and/or receiving accurate information.,reflective,reflective
{},False,{},9,2023-12-15 22:43:17,False,,,DenseRatingTrial,13,13,True,13,1,1,feature_rating,"{""feature"": ""positive in valence"", ""feature_description"": ""the positiveness of emotional valence, emotional pleasantness."", ""tone"": ""happy""}",True,False,,0.0,,"{""feature"": ""positive in valence"", ""tones"": ""happy"", ""answer"": {""happy"": ""4""}}",True,32.0,,,5.275,160.0,170.0,10.0,0,default,DenseRatingTrial,Info,positive in valence,"the positiveness of emotional valence, emotional pleasantness.",happy,happy
{},False,{},10,2023-12-15 22:43:23,False,,,DenseRatingTrial,151,151,True,151,1,1,feature_rating,"{""feature"": ""informational"", ""feature_description"": ""the extent to which the motive of speaker focuses on giving and/or receiving accurate information."", ""tone"": ""skeptical""}",True,False,,0.0,,"{""feature"": ""informational"", ""tones"": ""skeptical"", ""answer"": {""skeptical"": ""1""}}",True,35.0,,,5.848,170.0,180.0,10.0,0,default,DenseRatingTrial,Info,informational,the extent to which the motive of speaker focuses on giving and/or receiving accurate information.,skeptical,skeptical
{},False,{},11,2023-12-15 22:43:25,False,,,DenseRatingTrial,60,60,True,60,3,3,feature_rating,"{""feature"": ""relational"", ""feature_description"": ""the extent to which the motive of speaker motive focuses on building the relationship."", ""tone"": ""disappointed""}",True,False,,0.0,,"{""feature"": ""relational"", ""tones"": ""disappointed"", ""answer"": {""disappointed"": ""3""}}",True,37.0,,,9.822,90.0,100.0,10.0,0,default,DenseRatingTrial,Info,relational,the extent to which the motive of speaker motive focuses on building the relationship.,disappointed,disappointed
{},False,{},12,2023-12-15 22:43:29,False,,,DenseRatingTrial,32,32,True,32,1,1,feature_rating,"{""feature"": ""relational"", ""feature_description"": ""the extent to which the motive of speaker motive focuses on building the relationship."", ""tone"": ""surprised""}",True,False,,0.0,,"{""feature"": ""relational"", ""tones"": ""surprised"", ""answer"": {""surprised"": ""1""}}",True,38.0,,,6.076,180.0,190.0,10.0,0,default,DenseRatingTrial,Info,relational,the extent to which the motive of speaker motive focuses on building the relationship.,surprised,surprised
{},False,{},13,2023-12-15 22:43:32,False,,,DenseRatingTrial,79,79,True,79,2,2,feature_rating,"{""feature"": ""informational"", ""feature_description"": ""the extent to which the motive of speaker focuses on giving and/or receiving accurate information."", ""tone"": ""desperate""}",True,False,,0.0,,"{""feature"": ""informational"", ""tones"": ""desperate"", ""answer"": {""desperate"": ""1""}}",True,42.0,,,14.443,100.0,110.0,10.0,0,default,DenseRatingTrial,Info,informational,the extent to which the motive of speaker focuses on giving and/or receiving accurate information.,desperate,desperate
