|chain_id|node_order|response_order|node_mode|node_prompt|node_response
0|0|0|0|c|elicited in prior|Giddy
1|0|1|0|s|Provide one sentence with at least five words in English that has the conversation tone: Giddy.|Oh my gosh, I can't believe we're actually going to see our favorite band live tonight!
2|0|2|0|c|"Provide an adjective for conversation tone in English that you sense in the following sentence: ""Oh my gosh, I can't believe we're actually going to see our favorite band live tonight!"".Respond using only an adjective."|Excited
3|0|3|0|s|Provide one sentence with at least five words in English that has the conversation tone: Excited.|I can't wait to go on our trip to Hawaii next week!
4|0|4|0|c|"Provide an adjective for conversation tone in English that you sense in the following sentence: ""I can't wait to go on our trip to Hawaii next week!"".Respond using only an adjective."|Excited
5|0|5|0|s|Provide one sentence with at least five words in English that has the conversation tone: Excited.|I can't wait for our trip to Disneyland next month!
6|0|6|0|c|"Provide an adjective for conversation tone in English that you sense in the following sentence: ""I can't wait for our trip to Disneyland next month!"".Respond using only an adjective."|Excited
7|0|7|0|s|Provide one sentence with at least five words in English that has the conversation tone: Excited.|I can't wait to see the new superhero movie tonight!
8|0|8|0|c|"Provide an adjective for conversation tone in English that you sense in the following sentence: ""I can't wait to see the new superhero movie tonight!"".Respond using only an adjective."|Excited
9|0|9|0|s|Provide one sentence with at least five words in English that has the conversation tone: Excited.|Oh boy, I can't wait to start our vacation next week!
10|0|10|0|c|"Provide an adjective for conversation tone in English that you sense in the following sentence: ""Oh boy, I can't wait to start our vacation next week!"".Respond using only an adjective."|Excited
11|0|11|0|s|Provide one sentence with at least five words in English that has the conversation tone: Excited.|I just can't believe we're going to Disneyland next week!
12|0|12|0|c|"Provide an adjective for conversation tone in English that you sense in the following sentence: ""I just can't believe we're going to Disneyland next week!"".Respond using only an adjective."|Excited
13|0|13|0|s|Provide one sentence with at least five words in English that has the conversation tone: Excited.|Oh my goodness, I can't believe we're going to Disneyland tomorrow!
14|0|14|0|c|"Provide an adjective for conversation tone in English that you sense in the following sentence: ""Oh my goodness, I can't believe we're going to Disneyland tomorrow!"".Respond using only an adjective."|Excited
15|0|15|0|s|Provide one sentence with at least five words in English that has the conversation tone: Excited.|I can't wait for the concert tonight, it's going to be amazing!
16|0|16|0|c|"Provide an adjective for conversation tone in English that you sense in the following sentence: ""I can't wait for the concert tonight, it's going to be amazing!"".Respond using only an adjective."|Excited
17|0|17|0|s|Provide one sentence with at least five words in English that has the conversation tone: Excited.|I can't believe we're finally going on a road trip to Disneyland!
18|0|18|0|c|"Provide an adjective for conversation tone in English that you sense in the following sentence: ""I can't believe we're finally going on a road trip to Disneyland!"".Respond using only an adjective."|Excited
19|0|19|0|s|Provide one sentence with at least five words in English that has the conversation tone: Excited.|Oh my goodness, I cannot wait to see the new Marvel movie!
20|0|20|0|c|"Provide an adjective for conversation tone in English that you sense in the following sentence: ""Oh my goodness, I cannot wait to see the new Marvel movie!"".Respond using only an adjective."|Excited
21|0|21|0|s|Provide one sentence with at least five words in English that has the conversation tone: Excited.|I can't wait to start our amazing adventure in Europe next week!
22|0|22|0|c|"Provide an adjective for conversation tone in English that you sense in the following sentence: ""I can't wait to start our amazing adventure in Europe next week!"".Respond using only an adjective."|Excited
23|0|23|0|s|Provide one sentence with at least five words in English that has the conversation tone: Excited.|I can't wait to start our road trip this weekend!
