id,idx_1,word_1,idx_2,word_2
0,0,admiring,0,admiring
1,0,admiring,1,affectionate
2,0,admiring,2,angry
3,0,admiring,3,annoyed
4,0,admiring,4,anxious
5,0,admiring,5,apologetic
6,0,admiring,6,appreciative
7,0,admiring,7,concerned
8,0,admiring,8,confused
9,0,admiring,9,curious
10,0,admiring,10,defensive
11,0,admiring,11,descriptive
12,0,admiring,12,desperate
13,0,admiring,13,disappointed
14,0,admiring,14,encouraging
15,0,admiring,15,excited
16,0,admiring,16,friendly
17,0,admiring,17,frustrated
18,0,admiring,18,grateful
19,0,admiring,19,happy
20,0,admiring,20,indignant
21,0,admiring,21,irritated
22,0,admiring,22,joyful
23,0,admiring,23,nostalgic
24,0,admiring,24,pleased
25,0,admiring,25,proud
26,0,admiring,26,reassuring
27,0,admiring,27,reflective
28,0,admiring,28,relieved
29,0,admiring,29,resigned
30,0,admiring,30,sad
31,0,admiring,31,sarcastic
32,0,admiring,32,shocked
33,0,admiring,33,skeptical
34,0,admiring,34,surprised
35,0,admiring,35,sympathetic
36,0,admiring,36,thankful
37,0,admiring,37,uncertain
38,0,admiring,38,urgent
39,0,admiring,39,worried
40,1,affectionate,1,affectionate
41,1,affectionate,2,angry
42,1,affectionate,3,annoyed
43,1,affectionate,4,anxious
44,1,affectionate,5,apologetic
45,1,affectionate,6,appreciative
46,1,affectionate,7,concerned
47,1,affectionate,8,confused
48,1,affectionate,9,curious
49,1,affectionate,10,defensive
50,1,affectionate,11,descriptive
51,1,affectionate,12,desperate
52,1,affectionate,13,disappointed
53,1,affectionate,14,encouraging
54,1,affectionate,15,excited
55,1,affectionate,16,friendly
56,1,affectionate,17,frustrated
57,1,affectionate,18,grateful
58,1,affectionate,19,happy
59,1,affectionate,20,indignant
60,1,affectionate,21,irritated
61,1,affectionate,22,joyful
62,1,affectionate,23,nostalgic
63,1,affectionate,24,pleased
64,1,affectionate,25,proud
65,1,affectionate,26,reassuring
66,1,affectionate,27,reflective
67,1,affectionate,28,relieved
68,1,affectionate,29,resigned
69,1,affectionate,30,sad
70,1,affectionate,31,sarcastic
71,1,affectionate,32,shocked
72,1,affectionate,33,skeptical
73,1,affectionate,34,surprised
74,1,affectionate,35,sympathetic
75,1,affectionate,36,thankful
76,1,affectionate,37,uncertain
77,1,affectionate,38,urgent
78,1,affectionate,39,worried
79,2,angry,2,angry
80,2,angry,3,annoyed
81,2,angry,4,anxious
82,2,angry,5,apologetic
83,2,angry,6,appreciative
84,2,angry,7,concerned
85,2,angry,8,confused
86,2,angry,9,curious
87,2,angry,10,defensive
88,2,angry,11,descriptive
89,2,angry,12,desperate
90,2,angry,13,disappointed
91,2,angry,14,encouraging
92,2,angry,15,excited
93,2,angry,16,friendly
94,2,angry,17,frustrated
95,2,angry,18,grateful
96,2,angry,19,happy
97,2,angry,20,indignant
98,2,angry,21,irritated
99,2,angry,22,joyful
100,2,angry,23,nostalgic
101,2,angry,24,pleased
102,2,angry,25,proud
103,2,angry,26,reassuring
104,2,angry,27,reflective
105,2,angry,28,relieved
106,2,angry,29,resigned
107,2,angry,30,sad
108,2,angry,31,sarcastic
109,2,angry,32,shocked
110,2,angry,33,skeptical
111,2,angry,34,surprised
112,2,angry,35,sympathetic
113,2,angry,36,thankful
114,2,angry,37,uncertain
115,2,angry,38,urgent
116,2,angry,39,worried
117,3,annoyed,3,annoyed
118,3,annoyed,4,anxious
