,idx_1,word_1
0,0,accusatory
1,1,admiring
2,2,affectionate
3,3,amazed
4,4,annoyed
5,5,anxious
6,6,apologetic
7,7,appreciative
8,8,casual
9,9,cautious
10,10,cheerful
11,11,concerned
12,12,confident
13,13,confused
14,14,curious
15,15,disappointed
16,16,dismissive
17,17,ecstatic
18,18,elated
19,19,embarrassed
20,20,encouraging
21,21,enthusiastic
22,22,exasperated
23,23,excited
24,24,frustrated
25,25,grateful
26,26,indignant
27,27,inquisitive
28,28,interested
29,29,irritated
30,30,mournful
31,31,nostalgic
32,32,optimistic
33,33,overwhelmed
34,34,peaceful
35,35,pessimistic
36,36,polite
37,37,reassuring
38,38,reflective
39,39,regretful
40,40,rejected
41,41,relieved
42,42,resigned
43,43,romantic
44,44,sad
45,45,sarcastic
46,46,serene
47,47,skeptical
48,48,stressed
49,49,uncertain
