,idx_1,word_1
0,0,excited
1,1,grateful
2,2,concerned
3,3,happy
4,4,frustrated
5,5,irritated
6,6,appreciative
7,7,surprised
8,8,encouraging
9,9,thankful
10,10,nostalgic
11,11,confused
12,12,descriptive
13,13,angry
14,14,disappointed
15,15,apologetic
16,16,relieved
17,17,anxious
18,18,pleased
19,19,desperate
20,20,worried
21,21,affectionate
22,22,joyful
23,23,sad
24,24,annoyed
25,25,shocked
26,26,proud
27,27,admiring
28,28,uncertain
29,29,sympathetic
30,30,sarcastic
31,31,defensive
32,32,curious
33,33,urgent
34,34,reflective
35,35,friendly
36,36,resigned
37,37,skeptical
38,38,reassuring
39,39,indignant
